1492047708.905035,0
1492047709.031065,0
1492047709.163256,1
1492047709.296059,1
1492047709.413507,0
1492047709.547362,1
1492047709.703322,1
1492047709.844687,0
1492047709.974177,1
1492047710.096173,0
1492047710.233009,1
1492047710.379215,1
1492047710.484945,0
1492047710.629495,0
1492047710.738910,0
1492047710.846351,1
1492047710.958412,0
1492047711.115155,0
1492047711.235622,1
1492047711.364518,1
1492047711.491932,1
1492047711.614992,0
1492047711.747050,0
1492047711.863920,1
1492047711.972197,0
1492047712.079225,0
1492047712.243140,1
1492047712.374102,1
1492047712.482059,0
1492047712.587080,0
1492047712.703117,1
1492047712.833891,1
1492047712.966320,1
1492047713.109117,0
1492047713.213681,0
1492047713.332546,0
1492047713.446329,0
1492047713.597548,1
1492047713.703158,0
1492047713.823545,1
1492047713.969769,1
1492047714.099246,0
1492047714.230235,0
1492047714.390991,1
1492047714.495630,0
1492047714.636559,0
1492047714.748039,1
1492047714.873929,1
1492047714.990568,1
1492047715.098521,1
1492047715.215886,0
1492047715.326619,1
1492047715.503515,1
1492047715.638991,0
1492047715.790584,0
1492047715.919986,0
1492047716.058606,1
1492047716.181822,0
1492047716.307425,0
1492047716.436989,0
1492047716.546604,0
1492047716.678164,0
1492047716.811800,0
1492047716.932242,0
1492047717.064042,0
1492047717.181735,0
1492047717.317666,0
1492047717.437060,0
1492047717.553740,1
1492047717.689559,1
1492047717.805162,0
1492047717.935418,0
1492047718.074070,0
1492047718.199522,0
1492047718.341205,0
1492047718.448599,1
1492047718.568790,0
1492047718.678095,0
1492047718.820169,1
1492047718.940073,0
1492047719.056367,0
1492047719.175144,1
1492047719.289312,1
1492047719.419396,1
1492047719.532314,1
1492047719.663396,0
1492047719.776028,1
1492047719.906908,0
1492047720.018905,0
1492047720.148909,0
1492047720.286271,0
1492047720.390270,0
1492047720.532800,1
1492047720.657916,1
1492047720.802980,0
1492047720.914654,0
1492047721.028053,0
1492047721.139256,0
1492047721.260206,1
1492047721.390611,0
1492047721.520498,1
1492047721.651086,0
1492047721.797960,0
1492047721.908808,0
1492047722.020947,0
1492047722.169852,0
1492047722.275635,0
1492047722.414367,0
1492047722.559733,0
1492047722.672430,0
1492047722.815570,0
1492047722.931684,0
1492047723.063981,0
1492047723.173793,0
1492047723.303323,11
1492047723.411647,18
1492047723.519721,26
1492047723.630627,33
1492047723.737567,32
1492047723.845526,25
